order_id,order_status,payment_value
03caa2c082116e1d31e67e9ae3700499,delivered,13664.08
736e1922ae60d0d6a89247b851902527,delivered,7274.88
0812eb902a67711a1cb742b3cdaa65ae,delivered,6929.31
fefacc66af859508bf1a7934eab1e97f,delivered,6922.21
f5136e38d1a14a4dbd87dff67da82701,delivered,6726.66
2cc9089445046817a7539d90805e6e5a,delivered,6081.54
a96610ab360d42a2e5335a3998b4718a,delivered,4950.34
199af31afc78c699f0dbf71fb178d4d4,delivered,4764.34
8dbc85d1447242f3b127dda390d56e19,delivered,4681.78
426a9742b533fc6fed17d1fd6d143d7e,delivered,4513.32
