product_id,product_category_name,product_category_name_english
00066f42aeeb9f3007548bb9d3f33c38,perfumaria,perfumery
00088930e925c41fd95ebfe695fd2655,automotivo,auto
0009406fd7479715e4bef61dd91f2462,cama_mesa_banho,bed_bath_table
000b8f95fcb9e0096488278317764d19,utilidades_domesticas,housewares
000d9be29b5207b54e86aa1b1ac54872,relogios_presentes,watches_gifts
0011c512eb256aa0dbbb544d8dffcf6e,automotivo,auto
00126f27c813603687e6ce486d909d01,cool_stuff,cool_stuff
001795ec6f1b187d37335e1c4704762e,consoles_games,consoles_games
001b237c0e9bb435f2e54071129237e9,cama_mesa_banho,bed_bath_table
001b72dfd63e9833e8c02742adf472e3,moveis_decoracao,furniture_decor
